Type de bien,Localisation,Salles de bains,Superficie,Prix,Chambres
Appartement,Tunis,1,182,445000.0,3.0
Appartement,Tunis,2,150,550000.0,6.0
Appartement,Tunis,1,71,3500.0,2.0
Appartement,Tunis,1,98,270000.0,3.0
Appartement,Tunis,2,132,320000.0,3.0
Appartement,Tunis,1,140,355000.0,3.0
Appartement,Nabeul,2,230,660000.0,4.0
Villa,Sfax,3,920,843000.0,4.0
Appartement,Tunis,1,60,164999.0,1.0
Villa,Sfax,3,700,600000.0,4.0
Appartement,Sfax,0,80,120000.0,1.0
Appartement,Tunis,1,1280,4500000.0,2.0
Villa,Ben Arous,1,200,480000.0,3.0
Appartement,Ben Arous,1,98,197000.0,2.0
Appartement,Ben Arous,2,199,420000.0,4.0
Appartement,Ben Arous,3,132,325000.0,4.0
Appartement,Sousse,1,73,250000.0,1.0
Appartement,La Manouba,2,180,330000.0,4.0
Villa,Ben Arous,3,270,530000.0,4.0
Appartement,Ben Arous,2,152,300000.0,3.0
Appartement,Sousse,2,118,326000.0,2.0
Appartement,Tunis,2,127,620000.0,2.0
Appartement,Sousse,1,97,250000.0,1.0
Appartement,Tunis,3,195.5,365000.0,4.0
Appartement,Tunis,1,120,290000.0,2.0
Appartement,Sfax,1,281,365000.0,3.0
Appartement,Sousse,1,114,310000.0,3.0
Villa,Nabeul,2,440,845000.0,4.0
Appartement,Tunis,1,127,465000.0,2.0
Appartement,Tunis,1,107,319000.0,1.0
Appartement,Tunis,1,71,260000.0,1.0
Appartement,Ariana,1,99,401000.0,2.0
Villa,Tunis,3,464,1400000.0,3.0
Appartement,Tunis,1,125,363000.0,1.0
