Type de bien,Localisation,Annonce,Configuration des pièces,Type de transaction,Salles de bains,Superficie,Prix,Chambres
,Ben Arous,À VENDRE VILLA EXCEPTIONNELLE SUR LES HAUTEURS DE RADES MONGIL,,À Vendre,2,580,1500000,7
,Ben Arous,À VENDRE TERRAIN DE 523M² À RADES MONGIL,,False,False,False,1200,False
,Ben Arous,À VENDRE TERRAIN DE 234M² À VOCATION R+4 À RADES PLAGE,,False,False,False,1200,False
,Nabeul,À VENDRE LOTS DE TERRAINS À FONDOUK DJEDID,,False,False,False,290,False
,Ben Arous,À VENDRE EXCEPTIONNELLE VILLA SUR LES HAUTEUR DE RADES MONGIL,,À Vendre,2,1014,2400000,6
,Ariana,à vendre un triplex avec piscine à la soukra,,À Vendre,5,374,,4
,Ben Arous,À VENDRE VILLA S+5 DANS LA QUIÈTUDE DE RADES MONGIL,S+5,À Vendre,2,1053,1500000,5
,Ben Arous,À VENDRE SPACIEUSE VILLA S+5 AUX ABORDS DE LA FORÊT DE RADES,S+5,À Vendre,2,445,1300000,5
,Ben Arous,À VENDRE SPLENDIDE VILLA EN PLEIN COEUR DE RADES,,À Vendre,4,735,1150000,7
,Ben Arous,À VENDRE VILLA S+3 À BOUMHEL BASSATINE CITÉ EL WAFA,S+3,À Vendre,1,444,550000,3
,Tunis,À VENDRE VILLA R+1 DANS QUARTIER BELLEVUE À EL OUARDIA,,À Vendre,2,459,650000,4
,Ariana,Terrain sokra à coût de terrain de golf,,False,False,False,,False
,Ben Arous,À VENDRE TERRAIN EN ZONE INDUSTRIELLE À SIDI REZIG MEGRINE,,False,False,False,2300000,False
,Ben Arous,À VENDRE TERRAINS À RADES SALINE (MALLEHA),,False,False,False,500,False
,Ariana,À VENDRE TERRAIN D’UNE SUPERFICIE DE 457M² À CITÉ ETTAAMIR 5 À LA SOUKRA,,False,False,False,550,False
,Nabeul,À VENDRE TERRAIN DE 463M² À 3 MINUTES DE LA PLAGE À SOLIMAN (LOTISSEMENT LA PLAGE),,False,False,False,450,False
,Nabeul,À VENDRE TERRAIN DE 452M² À 3 MINUTES DE LA PLAGE À SOLIMAN (LOTISSEMENT LA PLAGE),,False,False,False,450,False
,Ben Arous,À VENDRE TERRAIN INDUSTRIEL DE 1164M² À RADES SALINE,,False,False,False,500,False
,Ben Arous,À VENDRE TERRAIN DE 436M² À RADES PLAGE,,False,False,False,650,False
,Ariana,à vendre un triplex avec piscine à la Soukra,,À Vendre,5,374,,4
,Ben Arous,À VENDRE TERRAIN D’ANGLE DE 439M² À RADES MONGIL,,False,False,False,1500,False
,Nabeul,Appartement S+1 Hammamet nord,S+1,À Louer,1,83,950,-1
,Sfax,etage de villa a louer a sfax,,À Louer,1,180,790,4
,Ben Arous,A VENDRE TERRAIN DE 705 M² EN PLEIN CENTRE DE RADES,,False,False,False,1000,False
,Nabeul,À VENDRE TERRAIN D’ANGLE DE 315M² À 2 MIN DE LA PLAGE D’EL HAOUARIA,,False,False,False,460,False
,Nabeul,"À VENDRE TERRAIN AGRICOLE DE 3,7 HECTARES À SOLIMAN",,False,False,False,555000,False
,Ben Arous,À VENDRE TERRAIN DE 2000M² À VOCATION R+2 À RADES CITÉ ENNOUR,,False,False,False,400,False
,Ben Arous,À VENDRE MAISON D’ANGLE S+4 À RADES PLAGE,S+4,À Vendre,2,148,370000,4
,Ben Arous,À VENDRE MAISON S+3 EN PLEIN CENTRE DE RADES,S+3,À Vendre,1,170,370000,3
,Ben Arous,À VENDRE MAISON S+3 À 200M DE LA MER À RADES,S+3,À Vendre,3,450,580000,3
,Ben Arous,À VENDRE MAISON S+3 À RADES PLAGE,S+3,À Vendre,2,302,370000,3
,Nabeul,A Vendre un terrain sur 3 façades à hammamet sud exactement besbasia,,False,False,False,55000,False
,Ben Arous,À VENDRE CHARMANTE MAISON S+3 AVEC JARDIN À RADES,S+3,À Vendre,2,309,650000,3
,Ben Arous,À VENDRE MAISON R+2 À RADES CITÉ ENNOUR,,À Vendre,3,174,400000,7
,Ben Arous,À VENDRE MAISON DE RAPPORT R+2 À EZZAHRA,,À Vendre,2,183,680000,5
,Ben Arous,À VENDRE MAISON R+1 À RADES PLAGE AVENUE TAIEB MHIRI,,À Vendre,1,285,550000,4
,Ben Arous,À VENDRE MAISON À DEUX NIVEAUX SÉPARÉS À RADES PLAGE,,À Vendre,2,289,620000,5
,Ben Arous,À VENDRE MAISON DE RAPPORT (3 APPARTEMENTS) À RADES MRAH,,À Vendre,3,208,450000,7
