Localisation,Type de bien,Superficie,Nb_Salles De bain,Nb_Chambres,Prix
Tunis,villa,402.0,2.0,4.0,674389.0380067341
Tunis,Maison,143.0,1.0,3.0,290000.0
Ben_Arous,villa,125.0,2.0,6.0,250000.0
Tunis,Maison,100.0,3.0,6.0,450000.0
Sfax,Maison,512.0,1.0,3.0,450000.0
Tunis,villa,500.0,4.0,3.0,636471.615028803
Tunis,villa,590.0,4.0,5.0,712216.5807974901
La_Manouba,villa,518.0,3.0,4.0,563461.7213866321
Tunis,villa,350.0,3.0,4.0,850000.0
Ariana,villa,575.0,4.0,4.0,696671.576439027
Tunis,villa,402.0,2.0,3.0,636520.2318899625
La_Manouba,Maison,189.0,2.0,6.0,265000.0
Nabeul,villa,420.0,1.0,3.0,680000.0
Ben_Arous,villa,256.0,2.0,4.0,606966.8319323184
Nabeul,villa,385.0,3.0,6.0,1250000.0
Mdenine,villa,220.0,2.0,4.0,539141.1663495228
Sousse,villa,405.0,2.0,5.0,750000.0
Sousse,Maison,180.0,2.0,2.0,150000.0
Ariana,villa,764.0,2.0,2.0,950000.0
Ben_Arous,villa,440.0,4.0,8.0,758400.4662496052
Ben_Arous,Maison,85.0,3.0,8.0,160000.0
Nabeul,villa,1085.0,3.0,3.0,600000.0
Ben_Arous,villa,350.0,5.0,6.0,550000.0
Tunis,villa,400.0,2.0,4.0,750000.0
Nabeul,villa,530.0,2.0,4.0,650000.0
Tunis,Maison,120.0,1.0,3.0,50000.0
Ben_Arous,villa,504.0,2.0,3.0,380000.0
Sfax,Maison,400.0,1.0,1.0,156365.38448204545
Tunis,villa,400.0,4.0,8.0,750000.0
Tunis,villa,411.0,5.0,8.0,1050000.0
Ben_Arous,villa,440.0,2.0,4.0,550000.0
Tunis,villa,550.0,2.0,8.0,970000.0
Ariana,villa,402.0,2.0,4.0,820000.0
Bizerte,Maison,103.0,2.0,4.0,240945.16124312265
Bizerte,villa,206.0,2.0,3.0,470000.0
Tunis,villa,654.0,4.0,4.0,674353.0038612653
Tunis,villa,400.0,3.0,5.0,712229.3686896779
Nabeul,Maison,245.0,1.0,3.0,270000.0
Nabeul,Maison,743.0,2.0,4.0,660000.0
Ariana,Maison,324.0,1.0,3.0,350000.0
Ariana,Appartement,156.0,1.0,3.0,295000.0
Tunis,villa,463.0,4.0,5.0,712206.2041423426
Nabeul,villa,318.0,4.0,4.0,1000000.0
Tunis,villa,520.0,4.0,6.0,980000.0
Tunis,Maison,172.0,1.0,3.0,303887.74110846967
Ben_Arous,Maison,90.0,1.0,3.0,98000.0
Ariana,villa,620.0,1.0,4.0,360000.0
Nabeul,villa,520.0,4.0,5.0,793134.4324416623
Nabeul,villa,1250.0,4.0,5.0,793194.0777822735
Bizerte,villa,270.0,2.0,3.0,350000.0
Bizerte,villa,252.0,2.0,1.0,449996.0
Ariana,Maison,85.0,2.0,4.0,175000.0
Ben_Arous,villa,135.0,2.0,9.0,240000.0
Ben_Arous,villa,245.0,2.0,8.0,400000.0
Ben_Arous,villa,300.0,3.0,7.0,540000.0
Ben_Arous,Maison,90.0,2.0,7.0,155000.0
Ben_Arous,villa,187.0,1.0,3.0,230000.0
Ben_Arous,villa,300.0,1.0,5.0,280000.0
Ben_Arous,villa,400.0,3.0,7.0,650000.0
Ariana,villa,530.0,3.0,6.0,450000.0
Tunis,Maison,100.0,2.0,8.0,210000.0
Ben_Arous,Maison,135.0,2.0,8.0,240000.0
Ben_Arous,villa,187.0,1.0,5.0,235000.0
Ariana,villa,260.0,5.0,4.0,696617.5270440876
Ariana,villa,1000.0,3.0,6.0,772472.2257215744
Tunis,villa,402.0,4.0,3.0,636463.6078460908
Tunis,villa,402.0,2.0,3.0,636520.2318899625
Tunis,Maison,280.0,2.0,8.0,493212.2839125646
Ariana,villa,350.0,1.0,4.0,420000.0
Nabeul,Maison,200.0,1.0,3.0,384813.599935354
Sfax,Maison,371.0,1.0,3.0,350000.0
Nabeul,villa,260.0,2.0,3.0,1150000.0
Tunis,Maison,100.0,2.0,4.0,341722.3523751904
Ariana,Maison,330.0,1.0,3.0,326225.6779954436
Ben_Arous,villa,900.0,3.0,6.0,682728.7507731774
Ariana,villa,200.0,2.0,3.0,135000.0
La_Manouba,Appartement,200.0,1.0,2.0,175000.0
Le_Kef,villa,314.0,1.0,5.0,444365.3201562977
Ben_Arous,villa,400.0,2.0,6.0,300000.0
Tunis,villa,325.0,2.0,4.0,670000.0
Nabeul,villa,315.0,3.0,6.0,370000.0
Tunis,villa,520.0,2.0,6.0,950000.0
Sousse,villa,218.0,1.0,4.0,950000.0
Tunis,villa,520.0,2.0,7.0,975000.0
Sousse,villa,218.0,2.0,4.0,712110.4332077405
Tunis,villa,493.0,3.0,6.0,750105.7734594315
Ariana,villa,480.0,1.0,3.0,220000.0
Nabeul,villa,400.0,2.0,4.0,850000.0
Ben_Arous,villa,518.0,3.0,6.0,800000.0
Sousse,villa,349.0,2.0,3.0,590000.0
La_Manouba,Maison,84.0,1.0,1.0,117234.4562637674
Tunis,villa,220.0,2.0,5.0,500000.0
Ariana,villa,600.0,3.0,5.0,1200000.0
Ben_Arous,villa,582.0,3.0,6.0,950000.0
Tunis,villa,500.0,3.0,8.0,680000.0
Tunis,villa,327.0,3.0,4.0,1150000.0
Tunis,villa,668.0,3.0,4.0,674382.4597664457
Sousse,villa,570.0,3.0,6.0,787848.493912355
Tunis,villa,402.0,2.0,3.0,636520.2318899625
Sfax,Maison,130.0,1.0,4.0,150000.0
Tunis,Maison,110.0,1.0,3.0,180000.0
Sousse,villa,228.0,1.0,4.0,288000.0
Ariana,villa,326.0,1.0,2.0,370000.0
Tunis,villa,500.0,2.0,1.0,560790.6268391315
Bizerte,villa,115.0,2.0,3.0,300000.0
Monastir,Maison,203.0,1.0,2.0,125000.0
