Superficie,Salles de bains,Chambres,Prix,Type de bien_Appartement,Type de bien_Maison,Type de bien_Villa,Localisation_Ariana,Localisation_Ben_Arous,Localisation_Bizerte,Localisation_Bja,Localisation_Gabs,Localisation_Gafsa,Localisation_Jendouba,Localisation_Kairouan,Localisation_Kasserine,Localisation_La_Manouba,Localisation_Le_Kef,Localisation_Mahdia,Localisation_Mdenine,Localisation_Monastir,Localisation_Nabeul,Localisation_Sfax,Localisation_Sidi_Bouzid,Localisation_Siliana,Localisation_Sousse,Localisation_Tozeur,Localisation_Tunis,Localisation_Zaghouan
464.0,3.0,3.0,637673.5728710874,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
300.0,2.0,5.0,970000.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118.0,2.0,2.0,266599.218970142,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
477.0,2.0,4.0,680000.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169.0,3.0,6.0,480000.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444.0,3.0,4.0,480000.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
539.0,2.0,6.0,900000.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380.0,5.0,4.0,688340.9613701196,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100.0,1.0,2.0,115000.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460.0,3.0,6.0,450000.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565.0,4.0,9.0,729761.7959897479,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
450.0,4.0,5.0,562295.7125520753,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
490.0,2.0,2.0,218000.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
90.0,2.0,6.0,360000.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
