Region,Localisation,Type,Nature,Area,#Bathrooms,#Bedrooms,Price
Tunis,Tunis,villa,À Vendre,325.0,2.0,4,670000.0
Ariana,Ariana,,À Vendre,150.0,2.0,3,550000.0
Nabeul,Nabeul,villa,À Vendre,315.0,3.0,6,370000.0
Tunis,Tunis,villa,À Vendre,520.0,2.0,6,950000.0
Sousse,Sousse,villa,À Vendre,218.0,1.0,4,950000.0
Tunis,Tunis,villa,À Vendre,520.0,2.0,7,975000.0
Sousse,Sousse,villa,À Vendre,218.0,2.0,4,1100000000.0
Tunis,Tunis,villa,À Vendre,493.0,3.0,6,8500000.0
Ariana,Ariana,villa,À Vendre,480.0,1.0,3,220000.0
Nabeul,Nabeul,villa,À Vendre,400.0,2.0,4,850000.0
Ben Arous,Ben_Arous,villa,À Vendre,518.0,3.0,6,800000.0
Sousse,Sousse,villa,À Vendre,349.0,2.0,3,590000.0
La Manouba,La_Manouba,Maison,À Vendre,84.0,1.0,1,45000.0
Tunis,Tunis,villa,À Vendre,220.0,2.0,5,500000.0
Ariana,Ariana,villa,À Vendre,600.0,3.0,5,1200000.0
Ben Arous,Ben_Arous,villa,À Vendre,582.0,3.0,6,950000.0
Tunis,Tunis,villa,À Vendre,500.0,3.0,8,680000.0
Tunis,Tunis,villa,À Vendre,327.0,3.0,4,1150000.0
Tunis,Tunis,villa,À Vendre,668.0,3.0,4,
Sousse,Sousse,villa,À Vendre,570.0,3.0,6,1400000.0
Tunis,Tunis,villa,,,,,0.0
