Region,Type,Area,#Bathrooms,#Bedrooms,Price
Tunis,Villa,350.0,2.0,4.0,189999.0
Ariana,Villa,350.0,2.0,6.0,269997.0
Nabeul,Villa,500.0,1.0,2.0,300000.0
Tunis,Villa,253.0,2.0,4.0,1230000.0
Ben Arous,Appartement,140.0,2.0,4.0,175000.0
Nabeul,Villa,90.0,3.0,4.0,130000.0
Nabeul,Appartement,230.0,1.0,4.0,185000.0
Monastir,Appartement,145.0,1.0,3.0,198000.0
Ariana,Villa,545.0,2.0,4.0,780000.0
Tunis,Villa,140.0,1.0,4.0,130000.0
Ben Arous,Villa,256.0,2.0,4.0,130000.0
Ben Arous,Villa,363.0,2.0,4.0,130000.0
Ben Arous,Villa,373.0,1.0,4.0,540000.0
Tunis,Villa,200.0,3.0,5.0,680000.0
Jendouba,Villa,802.0,1.0,3.0,550000.0
Ariana,Villa,420.0,2.0,4.0,980000.0
Nabeul,Villa,500.0,2.0,3.0,180000.0
Nabeul,Appartement,105.0,2.0,3.0,370000.0
Nabeul,Villa,400.0,3.0,4.0,130000.0
Nabeul,Villa,329.0,4.0,3.0,1100000.0
Ben Arous,Villa,562.0,4.0,8.0,830000.0
Ariana,Villa,457.0,2.0,3.0,130000.0
Ariana,Villa,400.0,3.0,4.0,130000.0
Tunis,Appartement,400.0,1.0,1.0,2300000.0
Ben Arous,Villa,500.0,1.0,1.0,990000.0
